코인이룸,원천,커밋횟수,Star 갯수,코드기여자,참조횟수,사용언어,시총
비트코인,,15804,24011,459,13869,C++,2763
리플,,11560,2075,57,575,C++,1245
이더리움,,9196,11009,211,3366,C++,993
비트코인 캐시,"N, 비트코인",,400,,,C++,425
에이다,,12714,1305,50,174,Haskell,272
뉴이코노미무브먼트,,571,179,4,51,Java,147
트론,,165,372,12,75,Java,147
라이트코인,"N, 비트코인",69,2512,,100,C++,137
스텔라,,3772,863,36,233,C++,127
아이오타,,1361,664,20,192,C++,110
대시,"N, 비트코인",,813,,,C++,97
네오,,347,1426,17,446,C#,65
이오스,,1944,2656,53,544,WebAssembly,63
모네로,,5297,2108,135,872,C++,62
비트코인골드,"N, 비트코인",,475,,243,C++,49
퀀텀,"N, 비트코인",,562,,111,C++,49
라이블록스,,2387,981,17,189,C++,47
이더리움클래식,"N, 이더리움",4697,1647,32,224,JavaScript,37
아이콘,,43,88,8,32,Python,28
비트커넥트,"N, 비트코인",30,90,1,102,C++,25
버지,"N, 비트코인",882,1008,35,283,C,24
비트쉐어,,1827,533,34,359,C++,20
오미세고,,243,80,7,24,Go,20
아더,"N, NXT",조사필요,조사필요,조사필요,조사필요,Java,19
스테이터스,,2079,1714,102,411,Clojure,19
제트캐시,"N, 비트코인",,3263,,895,C++,18
바이트코인,,88,305,5,조사필요,C++,18
시아코인,,8220,2058,43,277,Go,16
스팀,,2165,812,34,337,C++,16
포퓰러스,,2,8,1,5,Solidity,16
스트라티스,,1427,289,33,124,C#,15
웨이브,,6297,366,30,120,Scala,13
바이낸스코인,X,,,,,,13
도지코인,"N, 비트코인",,1591,,663,C++,12
디지바이트,"N, 비트코인",,167,,73,C++,11
VeChain,X,,,,,,11
코모도,"N, ZCASH",,47,,,C++,10
XPCoin,"N, 비트코인",55,43,5,19,C++,10
Hshare,"N, 비트코인",17,86,1,24,C++,10
덴트,X,,,,,,9
골렘,,4857,1986,25,192,Python,8
어거,,4045,314,22,65,TypeScript,8
드래곤체인,,243,439,11,102,Python,8
베리타시움,"N, 비트코인J",38,4,1,8,JavaScript,8
디크리드,"N, 비트코인Go",,237,,,Go,7
아크,,937,155,33,99,Javascript,7
에쏘스,X,,,,,,7
펀페어,X,,,,,,7
레드코인,"N, 라이트코인",,213,,,C++,6
PIVX,"N, 비트코인",,182,,,C++,6
팩텀,,9492,106,52,29,Go,6
솔트,X,,,,,,6
베이직 어텐션,X,,,,,,6
KuCoin Shares,X,,,,,,6
쿼시,X,,,,,,6
Nxt,,조사필요,조사필요,조사필요,조사필요,Java,5
모나코인,"N, 라이트코인",,187,,,C++,5
일렉트로니움,"N, 모네로",,159,,,C++,5
비트코인다크,"N, 비트코인",,17,9,22,C,5
0x,,2499,243,11,42,TypeScript,5
바이트볼,,904,79,10,43,Javascript,5
넥서스,,255,55,14,38,C++,5
리퀘스트 네트워크,,115,98,2,6,TypeScript,5
파워레저,X,,,,,,5
아이온,X,,,,,,5
텐엑스,X,,,,,,5
버트코인,"N, 비트코인",,236,,,C++,3
스토리지,,380,227,26,68,JavaScript,3
비트베이,X,,,,,,3
아인슈타니움,"N, 라이트코인",,30,,,C++,2
리피오크레딧네트워크,,27,10,3,6,Solidity,2
모나코인,X,,,,,,2
싱귤러DTV,X,,,,,,2
그로스톨코인,"N, 비트코인",,9,,,C++,1
머큐리,,7,2,1,0,HTML???,1
코파운드잇,X,,,,,,1
복셀,X,,,,,,1
